year,region,attack_type,target_type,weapon_type,incidents,killed,wounded,success_rate
1970,Western Europe,Armed Assault,Government (General),Firearms,1,0,0,1.0
1970,Western Europe,Armed Assault,Military,Incendiary,2,0,0,1.0
1970,Western Europe,Armed Assault,Private Citizens & Property,Firearms,6,9,0,1.0
1970,Western Europe,Armed Assault,Religious Figures/Institutions,Firearms,1,3,1,1.0
1970,Western Europe,Armed Assault,Terrorists/Non-State Militia,Incendiary,1,5,0,0.0
1970,Western Europe,Bombing/Explosion,Airports & Aircraft,Explosives,4,47,0,0.75
1970,Western Europe,Bombing/Explosion,Government (Diplomatic),Explosives,4,2,0,0.75
1970,Western Europe,Bombing/Explosion,Government (General),Explosives,1,0,0,0.0
1970,Western Europe,Bombing/Explosion,Journalists & Media,Explosives,1,0,0,1.0
1970,Western Europe,Bombing/Explosion,Police,Explosives,3,2,0,1.0
1970,Western Europe,Bombing/Explosion,Telecommunication,Explosives,1,0,0,1.0
1970,Western Europe,Bombing/Explosion,Terrorists/Non-State Militia,Explosives,1,1,0,0.0
1970,Western Europe,Facility/Infrastructure Attack,Airports & Aircraft,Incendiary,1,0,0,1.0
1970,Western Europe,Facility/Infrastructure Attack,Business,Incendiary,2,0,0,1.0
1970,Western Europe,Facility/Infrastructure Attack,Government (General),Incendiary,4,0,0,1.0
1970,Western Europe,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary,1,7,9,1.0
1970,Western Europe,Hijacking,Airports & Aircraft,Explosives,1,0,0,1.0
1970,Western Europe,Hijacking,Airports & Aircraft,Firearms,4,1,0,0.75
1970,Western Europe,Hijacking,Airports & Aircraft,Unknown,1,0,0,1.0
1970,Western Europe,Hostage Taking (Kidnapping),Government (Diplomatic),Unknown,2,0,0,1.0
1970,Western Europe,Hostage Taking (Kidnapping),Government (General),Unknown,1,0,0,0.0
1970,Western Europe,Unarmed Assault,Educational Institution,Chemical,1,0,0,0.0
1971,Australasia & Oceania,Bombing/Explosion,Business,Explosives,1,0,0,1.0
1971,Central America & Caribbean,Armed Assault,Educational Institution,Firearms,2,0,0,1.0
1971,Central America & Caribbean,Armed Assault,Journalists & Media,Firearms,1,0,0,1.0
1971,Central America & Caribbean,Assassination,Government (General),Explosives,1,0,0,0.0
1971,Central America & Caribbean,Hostage Taking (Kidnapping),Private Citizens & Property,Unknown,1,0,0,1.0
1971,East Asia,Bombing/Explosion,Airports & Aircraft,Explosives,1,25,0,1.0
1971,Eastern Europe,Bombing/Explosion,Educational Institution,Explosives,1,0,0,1.0
1971,Eastern Europe,Facility/Infrastructure Attack,Police,Incendiary,4,0,0,0.75
1971,Middle East & North Africa,Armed Assault,Business,Firearms,2,0,0,1.0
1971,Middle East & North Africa,Armed Assault,Government (Diplomatic),Incendiary,1,0,0,1.0
1971,Middle East & North Africa,Armed Assault,Military,Firearms,1,0,0,1.0
1971,Middle East & North Africa,Armed Assault,Police,Firearms,2,0,0,1.0
1971,Middle East & North Africa,Armed Assault,Private Citizens & Property,Incendiary,1,0,0,1.0
1971,Middle East & North Africa,Assassination,Government (General),Firearms,1,1,0,1.0
1971,Middle East & North Africa,Assassination,Military,Firearms,1,1,0,1.0
1971,Middle East & North Africa,Bombing/Explosion,Business,Explosives,5,0,0,1.0
1971,Middle East & North Africa,Bombing/Explosion,Educational Institution,Explosives,2,0,0,1.0
1971,Middle East & North Africa,Bombing/Explosion,Government (Diplomatic),Explosives,7,0,0,0.7142857142857143
1971,Middle East & North Africa,Bombing/Explosion,Government (General),Explosives,3,0,0,0.6666666666666666
