year,region,incidents,killed,wounded,success_rate
1992,South America,1204,1536,1497,0.893687707641196
1992,South Asia,545,2447,2481,0.9486238532110092
1992,Southeast Asia,279,673,768,0.9498207885304659
1992,Sub-Saharan Africa,570,2442,1547,0.9438596491228071
1992,Western Europe,769,179,838,0.8699609882964889
1994,Australasia & Oceania,14,20,34,0.8571428571428571
1994,Central America & Caribbean,180,184,178,0.8388888888888889
1994,Central Asia,65,122,258,0.9230769230769231
1994,East Asia,34,34,612,0.7647058823529411
1994,Eastern Europe,95,49,46,0.7473684210526316
1994,Middle East & North Africa,1051,2065,1982,0.89058039961941
1994,North America,101,98,49,0.8316831683168316
1994,South America,373,406,495,0.9061662198391421
1994,South Asia,376,985,1987,0.9521276595744681
1994,Southeast Asia,151,390,378,0.9536423841059603
1994,Sub-Saharan Africa,432,3232,1185,0.9398148148148148
1994,Western Europe,584,105,365,0.827054794520548
1995,Australasia & Oceania,18,6,17,0.8888888888888888
1995,Central America & Caribbean,168,81,104,0.9047619047619048
1995,Central Asia,55,94,66,0.8727272727272727
1995,East Asia,38,21,6426,0.7368421052631579
1995,Eastern Europe,68,158,61,0.7352941176470589
1995,Middle East & North Africa,590,1020,2205,0.9033898305084745
1995,North America,94,240,766,0.851063829787234
1995,South America,255,650,472,0.8941176470588236
1995,South Asia,1051,2133,2732,0.9181731684110371
1995,Southeast Asia,168,312,310,0.9464285714285714
1995,Sub-Saharan Africa,239,1320,811,0.9497907949790795
1995,Western Europe,337,68,322,0.913946587537092
1996,Australasia & Oceania,19,23,14,1.0
1996,Central America & Caribbean,116,88,137,0.8620689655172413
1996,Central Asia,33,56,44,0.9696969696969697
1996,East Asia,89,32,161,0.9325842696629213
1996,Eastern Europe,175,167,219,0.88
1996,Middle East & North Africa,373,961,2085,0.9276139410187667
1996,North America,111,98,331,0.9009009009009009
1996,South America,517,725,582,0.9110251450676983
1996,South Asia,739,1945,5423,0.9133964817320703
1996,Southeast Asia,193,270,511,0.9430051813471503
1996,Sub-Saharan Africa,217,2558,699,0.9585253456221198
1996,Western Europe,476,43,589,0.8403361344537815
1997,Australasia & Oceania,7,0,23,0.8571428571428571
1997,Central America & Caribbean,117,73,135,0.8974358974358975
1997,Central Asia,49,81,47,0.9591836734693877
1997,East Asia,40,38,118,0.825
1997,Eastern Europe,248,115,291,0.8951612903225806
1997,Middle East & North Africa,548,4691,2582,0.958029197080292
1997,North America,137,231,66,0.8686131386861314
1997,South America,774,1317,756,0.9392764857881137
1997,South Asia,490,1815,2879,0.9530612244897959
1997,Southeast Asia,159,335,690,0.9622641509433962
1997,Sub-Saharan Africa,279,2188,1390,0.982078853046595
1997,Western Europe,349,40,95,0.8252148997134671
1998,Australasia & Oceania,6,0,2,1.0
